filename,unlabelled(0),static(1),ground(2),road(3),sidewalk(4),parking(5),rail track(6),building(7),wall(8),fence(9),guard rail(10),bridge(11),tunnel(12),pole(13),polegroup(14),traffic light(15),traffic sign(16),vegetation(17),terrain(18),sky(19),person(20),rider(21),car(22),truck(23),bus(24),caravan(25),trailer(26),train(27),motorcycle(28),bicycle(29),license plate(30)
hongdae_image_13_heading_180.jpg,12.26806640625,13.763427734375,41.49169921875,0.909423828125,0.0,2.5146484375,16.259765625,12.79296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_13_heading_270.jpg,11.737060546875,14.95361328125,41.180419921875,1.15966796875,0.0,2.2705078125,9.869384765625,18.829345703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_13_heading_90.jpg,13.51318359375,20.9716796875,25.830078125,0.6591796875,0.311279296875,0.0,20.208740234375,18.505859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_14_heading_0.jpg,8.331298828125,19.757080078125,33.9111328125,3.35693359375,3.08837890625,2.1728515625,11.956787109375,17.425537109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_14_heading_180.jpg,14.1845703125,15.27099609375,37.7685546875,1.361083984375,0.079345703125,2.91748046875,15.191650390625,13.226318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_14_heading_270.jpg,7.177734375,25.45166015625,30.120849609375,1.727294921875,1.275634765625,3.509521484375,9.21630859375,21.52099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_14_heading_90.jpg,11.9140625,20.721435546875,35.321044921875,0.457763671875,0.1953125,3.717041015625,16.49169921875,11.181640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_15_heading_0.jpg,11.358642578125,17.95654296875,31.0791015625,1.318359375,3.472900390625,0.0,13.5498046875,21.2646484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_15_heading_180.jpg,10.02197265625,11.68212890625,28.857421875,0.67138671875,0.201416015625,4.168701171875,13.519287109375,30.877685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hongdae_image_15_heading_270.jpg,11.29150390625,16.44287109375,34.674072265625,1.959228515625,1.849365234375,3.6865234375,15.570068359375,14.5263671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
